step,threshold,energy,ema_activation,activated,preset,seed
1,0.6749999999999999,100.0,0.0,0,tuned_v2,42
2,0.6449999999999999,100.0,0.0,0,tuned_v2,42
3,0.6149999999999999,100.0,0.0,0,tuned_v2,42
4,0.5849999999999999,100.0,0.0,0,tuned_v2,42
5,0.5549999999999998,100.0,0.0,0,tuned_v2,42
6,0.5380791938561742,83.06935381275227,0.1,1,tuned_v2,42
7,0.5344099149893613,62.897596222709716,0.19,1,tuned_v2,42
8,0.5430496365849635,44.867594681326054,0.271,1,tuned_v2,42
9,0.548963758233638,46.31959450441854,0.24390000000000003,0,tuned_v2,42
10,0.5686733421029385,25.131387102331622,0.31951000000000007,1,tuned_v2,42
11,0.6017888117789677,7.762101079902873,0.3875590000000001,1,tuned_v2,42
12,0.6337268724080624,7.938764569684585,0.3488031000000001,0,tuned_v2,42
13,0.6641448474134658,7.965819981988499,0.31392279000000006,0,tuned_v2,42
14,0.692663319273079,8.094923467955873,0.28253051100000004,0,tuned_v2,42
15,0.7314355732830791,0.0,0.35427745990000004,1,tuned_v2,42
16,0.7682960041628925,1.5153257639552686,0.31884971391000005,0,tuned_v2,42
17,0.8137995299109925,0.0,0.38696474251900004,1,tuned_v2,42
18,0.8517955336076442,0.9817431848944662,0.34826826826710006,0,tuned_v2,42
19,0.8722893241095053,1.1385261138939917,0.31344144144039005,0,tuned_v2,42
20,0.883436096814674,2.5490565071656026,0.282097297296351,0,tuned_v2,42
21,0.8928208533562509,2.9448677344976186,0.25388756756671593,0,tuned_v2,42
22,0.9,3.302751302119927,0.22849881081004433,0,tuned_v2,42
23,0.9,5.073779783281269,0.2056489297290399,0,tuned_v2,42
24,0.9,5.682374916460377,0.1850840367561359,0,tuned_v2,42
25,0.9,6.260980127250304,0.1665756330805223,0,tuned_v2,42
26,0.9,8.00751132580233,0.14991806977247008,0,tuned_v2,42
27,0.9,0.0,0.23492626279522308,1,tuned_v2,42
28,0.9,0.6172707999443579,0.21143363651570077,0,tuned_v2,42
29,0.9,1.9782814347752895,0.1902902728641307,0,tuned_v2,42
30,0.9,2.000196577728321,0.17126124557771763,0,tuned_v2,42
31,0.9,2.0604195082094945,0.15413512101994586,0,tuned_v2,42
32,0.9,3.1182576232239154,0.1387216089179513,0,tuned_v2,42
33,0.9,4.4506412248027445,0.12484944802615616,0,tuned_v2,42
34,0.9,4.369272138571237,0.11236450322354055,0,tuned_v2,42
35,0.9,6.031000485944116,0.1011280529011865,0,tuned_v2,42
36,0.9,7.238953121365581,0.09101524761106784,0,tuned_v2,42
37,0.9,8.918378535377,0.08191372284996105,0,tuned_v2,42
38,0.9,9.829196651572975,0.07372235056496496,0,tuned_v2,42
39,0.9,0.0,0.16635011550846845,1,tuned_v2,42
40,0.9,0.0,0.24971510395762161,1,tuned_v2,42
41,0.9,1.3595734257615435,0.22474359356185947,0,tuned_v2,42
42,0.9,1.7586329042073925,0.20226923420567353,0,tuned_v2,42
43,0.9,2.1321075686661097,0.1820423107851062,0,tuned_v2,42
44,0.9,0.0,0.26383807970659556,1,tuned_v2,42
45,0.9,0.0,0.337454271735936,1,tuned_v2,42
46,0.9,0.9551909748155407,0.30370884456234243,0,tuned_v2,42
47,0.9,1.8740023258716154,0.27333796010610817,0,tuned_v2,42
48,0.9,1.850516720578141,0.24600416409549736,0,tuned_v2,42
49,0.9,2.90369280757134,0.22140374768594762,0,tuned_v2,42
50,0.9,4.277768194551941,0.19926337291735285,0,tuned_v2,42
51,0.9,5.6172767205798415,0.17933703562561756,0,tuned_v2,42
52,0.9,6.847135589005385,0.16140333206305582,0,tuned_v2,42
53,0.9,0.0,0.24526299885675024,1,tuned_v2,42
54,0.9,1.5223479937491744,0.22073669897107523,0,tuned_v2,42
55,0.9,1.8920851908025424,0.1986630290739677,0,tuned_v2,42
56,0.9,1.9377416491716808,0.17879672616657094,0,tuned_v2,42
57,0.9,3.2129864753327197,0.16091705354991384,0,tuned_v2,42
58,0.9,4.9479265042436005,0.14482534819492246,0,tuned_v2,42
59,0.9,6.630778355864475,0.13034281337543022,0,tuned_v2,42
60,0.9,0.0,0.2173085320378872,1,tuned_v2,42
61,0.9,0.9784917276292657,0.1955776788340985,0,tuned_v2,42
62,0.9,1.3410146870856394,0.17601991095068864,0,tuned_v2,42
63,0.9,2.0813017226324906,0.1584179198556198,0,tuned_v2,42
64,0.9,2.578527027377257,0.1425761278700578,0,tuned_v2,42
65,0.9,2.919604416024895,0.12831851508305203,0,tuned_v2,42
66,0.9,4.500615742150012,0.11548666357474684,0,tuned_v2,42
67,0.9,0.0,0.20393799721727215,1,tuned_v2,42
68,0.9,2.022459415788054,0.18354419749554493,0,tuned_v2,42
69,0.9,2.026630632274565,0.16518977774599045,0,tuned_v2,42
70,0.9,3.605088324843761,0.1486707999713914,0,tuned_v2,42
71,0.9,5.038884521556243,0.13380371997425228,0,tuned_v2,42
72,0.9,6.09625398657473,0.12042334797682705,0,tuned_v2,42
73,0.9,7.657397254135368,0.10838101317914435,0,tuned_v2,42
74,0.9,9.122667946857408,0.09754291186122992,0,tuned_v2,42
75,0.9,10.003071356838225,0.08778862067510693,0,tuned_v2,42
76,0.9,11.83401881931438,0.07900975860759624,0,tuned_v2,42
77,0.9,12.378627985276617,0.07110878274683662,0,tuned_v2,42
78,0.9,13.036606593533145,0.06399790447215295,0,tuned_v2,42
79,0.9,14.128916609408005,0.057598114024937655,0,tuned_v2,42
80,0.8999485487163247,14.509564481656437,0.05183830262244389,0,tuned_v2,42
81,0.8997549899228849,15.021976541916613,0.046654472360199505,0,tuned_v2,42
82,0.8994075603952968,15.829467067622971,0.041989025124179555,0,tuned_v2,42
83,0.8989558803410946,16.099766752498297,0.0377901226117616,0,tuned_v2,42
84,0.8983112257871699,17.665023479152435,0.03401111035058544,0,tuned_v2,42
85,0.8975230451675242,18.67174141274965,0.030609999315526895,0,tuned_v2,42
86,0.8966300386593634,19.253153277870233,0.027548999383974208,0,tuned_v2,42
87,0.8955864664996963,20.526055314382265,0.024794099445576787,0,tuned_v2,42
88,0.8944098584934516,21.63869061686819,0.02231468950101911,0,tuned_v2,42
89,0.8931503140715569,22.14945110550691,0.0200832205509172,0,tuned_v2,42
90,0.8918459250887403,22.211826036440875,0.01807489849582548,0,tuned_v2,42
91,0.8904781648737486,22.574778505552924,0.01626740864624293,0,tuned_v2,42
92,0.8889861923850365,23.79714459125966,0.01464066778161864,0,tuned_v2,42
93,0.8874475501423781,24.028990169701107,0.013176601003456776,0,tuned_v2,42
