preset,activation_threshold,gate_temperature,target_activation_rate,refractory,f1,precision,recall,tp,fp,fn,tn,energy_savings_pct,activations,total_inputs
ecg_v1,0.55,0.05,0.1,0,0.09820193637621023,0.17091959557053443,0.06889190762662527,355,1722,4798,43125,91.24647625910146,2077,50000
ecg_v1,0.55,0.05,0.1,150,0.021687189854806103,0.2048611111111111,0.011449640985833495,59,229,5094,44618,91.19697249052821,288,6932
ecg_v1,0.55,0.05,0.1,200,0.019341640319880976,0.23214285714285715,0.01009120900446342,52,172,5101,44675,91.13743282629822,224,5344
ecg_v1,0.55,0.05,0.12,0,0.09884994523548742,0.1678289167828917,0.07005627789637105,361,1790,4792,43057,91.07441545979138,2151,50000
ecg_v1,0.55,0.05,0.12,150,0.01800808526277104,0.1695501730103806,0.00950902386959053,49,240,5104,44607,91.05130903508987,289,6666
ecg_v1,0.55,0.05,0.12,200,0.016366003347591595,0.19642857142857142,0.008538715311469047,44,180,5109,44667,91.11539813193454,224,5265
ecg_v1,0.55,0.05,0.15,0,0.10317887931034485,0.1686481726111845,0.07432563555210557,383,1888,4770,42959,90.79593160933739,2271,50000
ecg_v1,0.55,0.05,0.15,150,0.018001469507714918,0.16838487972508592,0.00950902386959053,49,242,5104,44605,90.80604332928998,291,6409
ecg_v1,0.55,0.05,0.15,200,0.012641754973043318,0.1504424778761062,0.006598098195226082,34,192,5119,44655,90.7233525002583,226,4920
ecg_v1,0.55,0.1,0.1,0,0.09471965160587915,0.15854214123006835,0.06753347564525519,348,1847,4805,43000,91.03171430785336,2195,50000
ecg_v1,0.55,0.1,0.1,150,0.02057688774572846,0.19310344827586207,0.010867455850960606,56,234,5097,44613,90.99903629683834,290,6588
ecg_v1,0.55,0.1,0.1,200,0.014503532911863145,0.17333333333333334,0.007568406753347565,39,186,5114,44661,91.04477403530595,225,5146
ecg_v1,0.55,0.1,0.12,0,0.09798115746971736,0.1598594642072903,0.07063846303124394,364,1913,4789,42934,90.8495134313952,2277,50000
ecg_v1,0.55,0.1,0.12,150,0.013223140495867768,0.1232876712328767,0.006986221618474675,36,256,5117,44591,90.80140368331101,292,6323
ecg_v1,0.55,0.1,0.12,200,0.012641754973043318,0.1504424778761062,0.006598098195226082,34,192,5119,44655,90.83231019191746,226,4940
ecg_v1,0.55,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
ecg_v1,0.55,0.1,0.15,150,0.01395519647447668,0.1296928327645051,0.007374345041723268,38,255,5115,44592,90.67004768302917,293,6162
ecg_v1,0.55,0.1,0.15,200,0.011152416356877325,0.13215859030837004,0.005821851348728896,30,197,5123,44650,90.5980876219441,227,4748
ecg_v1,0.55,0.15,0.1,0,0.10691412887204288,0.16373098478783027,0.07937124005433728,409,2089,4744,42758,90.34321043287741,2498,50000
ecg_v1,0.55,0.15,0.1,150,0.014686983660730677,0.1360544217687075,0.007762468464971861,40,254,5113,44593,90.51739016349161,294,6041
ecg_v1,0.55,0.15,0.1,200,0.012639405204460967,0.14977973568281938,0.006598098195226082,34,193,5119,44654,90.46245630605306,227,4647
ecg_v1,0.55,0.15,0.12,0,0.1047557003257329,0.15939730372720062,0.0780128080729672,402,2120,4751,42727,90.29994400694596,2522,50000
ecg_v1,0.55,0.15,0.12,150,0.013585459886175875,0.12585034013605442,0.007180283330098972,37,257,5116,44590,90.4311023461861,294,5926
ecg_v1,0.55,0.15,0.12,200,0.012639405204460967,0.14977973568281938,0.006598098195226082,34,193,5119,44654,90.4524668982582,227,4630
ecg_v1,0.55,0.15,0.15,0,0.10613512813875227,0.15934706568208318,0.07956530176596158,410,2163,4743,42684,90.18437068778624,2573,50000
ecg_v1,0.55,0.15,0.15,150,0.01431718061674009,0.13220338983050847,0.007568406753347565,39,256,5114,44591,90.26163488700605,295,5770
ecg_v1,0.55,0.15,0.15,200,0.013382899628252789,0.15859030837004406,0.006986221618474675,36,191,5117,44656,90.41482176902353,227,4600
ecg_v1,0.6,0.05,0.1,0,0.09820193637621023,0.17091959557053443,0.06889190762662527,355,1722,4798,43125,91.24647625910146,2077,50000
ecg_v1,0.6,0.05,0.1,150,0.021687189854806103,0.2048611111111111,0.011449640985833495,59,229,5094,44618,91.19782293291092,288,6932
ecg_v1,0.6,0.05,0.1,200,0.019341640319880976,0.23214285714285715,0.01009120900446342,52,172,5101,44675,91.13743282629822,224,5344
ecg_v1,0.6,0.05,0.12,0,0.09884994523548742,0.1678289167828917,0.07005627789637105,361,1790,4792,43057,91.07441545979138,2151,50000
ecg_v1,0.6,0.05,0.12,150,0.01653499908138894,0.15517241379310345,0.008732777023093344,45,245,5108,44602,91.06431924208651,290,6649
ecg_v1,0.6,0.05,0.12,200,0.015994048726055424,0.19196428571428573,0.00834465359984475,43,181,5110,44666,91.12078249519028,224,5265
ecg_v1,0.6,0.05,0.15,0,0.10317887931034485,0.1686481726111845,0.07432563555210557,383,1888,4770,42959,90.79593160933739,2271,50000
ecg_v1,0.6,0.05,0.15,150,0.018365472910927456,0.17123287671232876,0.009703085581214826,50,242,5103,44605,90.71265502266004,292,6298
ecg_v1,0.6,0.05,0.15,200,0.014500836586726157,0.17256637168141592,0.007568406753347565,39,187,5114,44660,90.77580531474074,226,4955
ecg_v1,0.6,0.1,0.1,0,0.09444746869896571,0.1580865603644647,0.0673394139336309,347,1848,4806,42999,91.02716704562071,2195,50000
ecg_v1,0.6,0.1,0.1,150,0.015065221385265481,0.1413793103448276,0.007956530176596158,41,249,5112,44598,91.05005004761627,290,6588
ecg_v1,0.6,0.1,0.1,200,0.014503532911863145,0.17333333333333334,0.007568406753347565,39,186,5114,44661,91.04477403530595,225,5146
ecg_v1,0.6,0.1,0.12,0,0.09851951547779274,0.16073781291172595,0.07102658645449253,366,1911,4787,42936,90.8482953561386,2277,50000
ecg_v1,0.6,0.1,0.12,150,0.017266715650257166,0.16151202749140894,0.009120900446341937,47,244,5106,44603,90.85995255695991,291,6409
ecg_v1,0.6,0.1,0.12,200,0.014500836586726157,0.17256637168141592,0.007568406753347565,39,187,5114,44660,90.83518275854208,226,4940
ecg_v1,0.6,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
ecg_v1,0.6,0.1,0.15,150,0.01652892561983471,0.1541095890410959,0.008732777023093344,45,247,5108,44600,90.7158620487218,292,6275
ecg_v1,0.6,0.1,0.15,200,0.012267657992565056,0.14537444933920704,0.0064040364836017855,33,194,5120,44653,90.60197369510954,227,4748
ecg_v1,0.6,0.15,0.1,0,0.10691412887204288,0.16373098478783027,0.07937124005433728,409,2089,4744,42758,90.34321043287741,2498,50000
ecg_v1,0.6,0.15,0.1,150,0.014686983660730677,0.1360544217687075,0.007762468464971861,40,254,5113,44593,90.51858503270856,294,6041
