preset,activation_threshold,gate_temperature,target_activation_rate,refractory,total_inputs,activations,precision,recall,f1,activation_rate,ema_activation_rate,avg_processing_time,total_energy_spent,energy_remaining,threshold_final,baseline_energy_cost,actual_energy_cost,estimated_energy_savings_pct
ecg_v1,0.55,0.05,0.1,0,50000,2077,0.17091959557053443,0.06889190762662527,0.09820193637621023,0.04154,0.05257506891842513,0.17774141655555986,65651.42805673902,65.49395149003517,0.9406530304263518,750000.0,65651.42805673902,91.24647625910146
ecg_v1,0.55,0.05,0.1,150,50000,288,0.2048611111111111,0.011449640985833495,0.021687189854806103,0.0415464512406232,0.17434746983251737,0.1805732175707817,9153.388004348772,51.83955549795848,0.5898383456246294,103980.0,9153.388004348772,91.19697249052821
ecg_v1,0.55,0.05,0.1,200,50000,224,0.23214285714285715,0.01009120900446342,0.019341640319880976,0.041916167664670656,0.14409858039731127,0.18190813383885793,7104.233846439334,64.11925497900843,0.5372193043843827,80160.0,7104.233846439334,91.13743282629822
ecg_v1,0.55,0.05,0.12,0,50000,2151,0.1678289167828917,0.07005627789637105,0.09884994523548742,0.04302,0.0014100119389114502,0.1780493838018952,66941.88405156457,98.03133451489587,0.834503034215746,750000.0,66941.88405156457,91.07441545979138
ecg_v1,0.55,0.05,0.12,150,50000,289,0.1695501730103806,0.00950902386959053,0.01800808526277104,0.043354335433543355,0.08014891644020948,0.17681253740119274,8947.79609581364,83.40252653767197,0.48272487988197504,99990.0,8947.79609581364,91.05130903508987
ecg_v1,0.55,0.05,0.12,200,50000,224,0.19642857142857142,0.008538715311469047,0.016366003347591595,0.04254510921177588,0.15406369693169913,0.17863000610045024,7016.614325304695,66.11139653158179,0.5117399105362158,78975.0,7016.614325304695,91.11539813193454
ecg_v1,0.55,0.05,0.15,0,50000,2271,0.1686481726111845,0.07432563555210557,0.10317887931034485,0.04542,0.002397267957548558,0.17802114908729866,69030.51292996958,81.16230292166726,0.9376628179766587,750000.0,69030.51292996958,90.79593160933739
ecg_v1,0.55,0.05,0.15,150,50000,291,0.16838487972508592,0.00950902386959053,0.018001469507714918,0.045404899360274614,0.14789041874008335,0.1775215548748003,8838.610245387088,66.68025150638206,0.5595885323722345,96135.0,8838.610245387088,90.80604332928998
ecg_v1,0.55,0.05,0.15,200,50000,226,0.1504424778761062,0.006598098195226082,0.012641754973043318,0.0459349593495935,0.12423724027466437,0.1791291099734011,6846.165854809365,66.40665321751757,0.48863348158684966,73800.0,6846.165854809365,90.7233525002583
ecg_v1,0.55,0.1,0.1,0,50000,2195,0.15854214123006835,0.06753347564525519,0.09471965160587915,0.0439,0.01389662756432916,0.17456490846864184,67262.14269109977,96.27375666162706,0.6423055263166284,750000.0,67262.14269109977,91.03171430785336
ecg_v1,0.55,0.1,0.1,150,50000,290,0.19310344827586207,0.010867455850960606,0.02057688774572846,0.0440194292653309,0.13241077019362893,0.17535180470039105,8894.752331464346,71.85980904079798,0.5806532917463886,98820.0,8894.752331464346,90.99903629683834
ecg_v1,0.55,0.1,0.1,200,50000,225,0.17333333333333334,0.007568406753347565,0.014503532911863145,0.043723280217644774,0.19939161277056913,0.17485936058892143,6912.538922147341,56.81170038357678,0.49973837202253635,77190.0,6912.538922147341,91.04477403530595
ecg_v1,0.55,0.1,0.12,0,50000,2277,0.1598594642072903,0.07063846303124394,0.09798115746971736,0.04554,0.0007810586035790492,0.17426815114630698,68628.64926453607,95.46059186285807,0.8595913745935994,750000.0,68628.64926453607,90.8495134313952
ecg_v1,0.55,0.1,0.12,150,50000,292,0.1232876712328767,0.006986221618474675,0.013223140495867768,0.046180610469713744,0.10656694968662073,0.17260500911163956,8724.408676563671,57.53155488803688,0.9220450619215118,94845.0,8724.408676563671,90.80140368331101
ecg_v1,0.55,0.1,0.12,200,50000,226,0.1504424778761062,0.006598098195226082,0.012641754973043318,0.045748987854251015,0.14292541731264602,0.1738379835027509,6793.25814778917,69.17137698218009,0.57104075355887,74100.0,6793.25814778917,90.83231019191746
ecg_v1,0.55,0.1,0.15,0,50000,2360,0.1478813559322034,0.06772753735687949,0.09290563024091573,0.0472,0.04379980208887173,0.17451009124012318,70066.45288906628,73.13487160948438,0.8777499380438224,750000.0,70066.45288906628,90.65780628145784
ecg_v1,0.55,0.1,0.15,150,50000,293,0.1296928327645051,0.007374345041723268,0.01395519647447668,0.047549496916585526,0.09191882301936849,0.1717201402162936,8623.674926576145,51.03980346165005,0.95,92430.0,8623.674926576145,90.67004768302917
ecg_v1,0.55,0.1,0.15,200,50000,227,0.13215859030837004,0.005821851348728896,0.011152416356877325,0.04780960404380792,0.08418565881488342,0.17429390982909349,6696.041995651409,73.23044016742455,0.925091398512138,71220.0,6696.041995651409,90.5980876219441
ecg_v1,0.55,0.15,0.1,0,50000,2498,0.16373098478783027,0.07937124005433728,0.10691412887204288,0.04996,0.10126524766110562,0.17476945385348808,72425.92175341943,49.36763635057376,0.95,750000.0,72425.92175341943,90.34321043287741
ecg_v1,0.55,0.15,0.1,150,50000,294,0.1360544217687075,0.007762468464971861,0.014686983660730677,0.04866743916570104,0.09764135878516833,0.172930925070834,8592.666903352081,38.2776929953844,0.95,90615.0,8592.666903352081,90.51739016349161
ecg_v1,0.55,0.15,0.1,200,50000,227,0.14977973568281938,0.006598098195226082,0.012639405204460967,0.04884871960404562,0.1096292618059384,0.1750938892364502,6648.14483186572,76.2422885505351,0.677667237331993,69705.0,6648.14483186572,90.46245630605306
